CLUB_NAME,PLAYERS_COUNT,PLAYERS_AVG_AGE,LEGIONARIES_COUNT,AVG_MARKET_VALUE,TOTAL_MARKET_VALUE,season
Bayer 05 Uerdingen,21,"26,5",2,-,-,1980
1.FC Nürnberg,24,"25,7",2,-,-,1980
Fortuna Düsseldorf,23,"25,7",1,-,-,1980
Arminia Bielefeld,22,"26,5",2,-,-,1980
Hamburger SV,19,"26,6",1,-,-,1980
Bayer 04 Leverkusen,25,"26,8",1,-,-,1980
Karlsruher SC,18,"27,0",0,-,-,1980
Borussia Dortmund,23,"25,0",3,-,-,1980
MSV Duisburg,23,"24,3",1,-,-,1980
Borussia Mönchengladbach,25,"24,2",3,-,-,1980
TSV 1860 München,21,"27,0",2,-,-,1980
Eintracht Braunschweig,19,"26,7",2,-,-,1981
VfL Bochum,22,"25,2",2,-,-,1981
1.FC Kaiserslautern,23,"24,6",2,-,-,1981
Eintracht Frankfurt,24,"25,1",2,-,-,1981
SV Werder Bremen,22,"26,0",2,-,-,1981
1.FC Köln,24,"24,4",3,-,-,1981
FC Bayern München,23,"25,0",1,-,-,1981
SV Darmstadt 98,20,"26,3",2,-,-,1981
1.FC Nürnberg,24,"25,2",1,-,-,1981
Fortuna Düsseldorf,22,"24,3",4,-,-,1981
Arminia Bielefeld,20,"26,4",2,-,-,1981
Hamburger SV,22,"26,1",2,-,-,1981
Bayer 04 Leverkusen,22,"26,7",1,-,-,1981
Karlsruher SC,21,"26,7",0,-,-,1981
Borussia Dortmund,24,"25,9",3,-,-,1981
MSV Duisburg,25,"24,2",2,-,-,1981
Borussia Mönchengladbach,25,"24,2",1,-,-,1981
VfB Stuttgart,21,"26,0",4,-,-,1981
Eintracht Braunschweig,21,"26,0",3,-,-,1982
VfB Stuttgart,20,"25,4",2,-,-,1982
1.FC Kaiserslautern,20,"25,6",2,-,-,1982
Eintracht Frankfurt,26,"24,9",2,-,-,1982
VfL Bochum,23,"24,5",2,-,-,1982
1.FC Köln,24,"25,5",3,-,-,1982
FC Bayern München,23,"25,9",1,-,-,1982
SV Werder Bremen,19,"26,9",1,-,-,1982
1.FC Nürnberg,19,"26,4",2,-,-,1982
FC Schalke 04,22,"26,3",1,-,-,1982
Arminia Bielefeld,25,"25,6",2,-,-,1982
Fortuna Düsseldorf,19,"25,6",2,-,-,1982
Bayer 04 Leverkusen,20,"26,5",2,-,-,1982
Hamburger SV,20,"26,0",3,-,-,1982
Borussia Dortmund,21,"25,7",2,-,-,1982
Hertha BSC,21,"26,5",1,-,-,1982
Borussia Mönchengladbach,29,"23,7",1,-,-,1982
Karlsruher SC,22,"26,4",3,-,-,1982
Eintracht Braunschweig,23,"26,2",2,-,-,1983
SV Werder Bremen,24,"26,8",2,-,-,1983
1.FC Kaiserslautern,25,"24,3",2,-,-,1983
Eintracht Frankfurt,24,"23,3",2,-,-,1983
Bayer 05 Uerdingen,23,"26,3",1,-,-,1983
1.FC Köln,24,"25,5",3,-,-,1983
FC Bayern München,22,"26,2",2,-,-,1983
Kickers Offenbach,27,"25,9",2,-,-,1983
1.FC Nürnberg,24,"25,3",2,-,-,1983
Fortuna Düsseldorf,20,"25,7",2,-,-,1983
Arminia Bielefeld,22,"24,7",4,-,-,1983
Hamburger SV,19,"26,5",1,-,-,1983
Bayer 04 Leverkusen,23,"25,0",2,-,-,1983
VfB Stuttgart,19,"24,4",2,-,-,1983
Borussia Dortmund,24,"25,3",2,-,-,1983
VfL Bochum,26,"24,5",1,-,-,1983
Borussia Mönchengladbach,23,"24,3",2,-,-,1983
SV Waldhof Mannheim,23,"25,3",2,-,-,1983
SV Waldhof Mannheim,24,"25,6",1,-,-,1984
Bayer 05 Uerdingen,19,"27,1",2,-,-,1984
Arminia Bielefeld,26,"24,1",2,-,-,1984
Karlsruher SC,22,"25,7",2,-,-,1984
Eintracht Braunschweig,23,"25,1",2,-,-,1984
VfL Bochum,21,"25,7",1,-,-,1984
Borussia Dortmund,23,"24,8",2,-,-,1984
FC Bayern München,24,"25,7",3,-,-,1984
FC Schalke 04,20,"27,2",1,-,-,1984
Borussia Mönchengladbach,22,"25,0",2,-,-,1984
Bayer 04 Leverkusen,29,"25,6",3,-,-,1984
VfB Stuttgart,25,"24,4",3,-,-,1984
SV Werder Bremen,21,"26,5",2,-,-,1984
1.FC Köln,26,"24,1",2,-,-,1984
Hamburger SV,18,"27,1",3,-,-,1984
Eintracht Frankfurt,20,"23,3",2,-,-,1984
1.FC Kaiserslautern,21,"24,8",1,-,-,1984
Fortuna Düsseldorf,20,"25,2",2,-,-,1984
1.FC Saarbrücken,25,"26,6",2,-,-,1985
FC Bayern München,23,"25,7",3,-,-,1985
SV Werder Bremen,23,"27,0",2,-,-,1985
1.FC Kaiserslautern,24,"25,0",1,-,-,1985
FC Schalke 04,21,"26,7",1,-,-,1985
Bayer 05 Uerdingen,26,"26,5",2,-,-,1985
1.FC Köln,24,"25,0",3,-,-,1985
Fortuna Düsseldorf,19,"25,4",2,-,-,1985
